Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40803025,Cage of Souls,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",0,4.14,Head of Zeus,Hardcover,602,2019,2019,,2019/03/28,to-read,to-read (#84),to-read,,,,0,0
3538130,Plato and a Platypus Walk into a Bar... Understanding Philosophy Through Jokes,Thomas Cathcart,"Cathcart, Thomas",Daniel Klein,"=""0143113879""","=""9780143113874""",1,3.76,Penguin Books,Paperback,215,2008,2006,2019/03/25,2019/03/23,,,read,,,,1,0
64341,The Metamorphosis of Prime Intellect,Roger    Williams,"Williams, Roger",,"=""1411602196""","=""9781411602199""",0,4.14,Lulu.com,Paperback,176,2010,2006,,2019/03/21,to-read,to-read (#83),to-read,,,,0,0
38136876,"An Easy Death (Gunnie Rose, #1)",Charlaine Harris,"Harris, Charlaine",,"=""1481494929""","=""9781481494922""",4,3.85,Saga Press,Hardcover,306,2018,2018,2019/03/19,2019/03/13,,,read,,,,1,0
8648,"Xenocide (Ender's Saga, #3)",Orson Scott Card,"Card, Orson Scott",,"=""0312861877""","=""9780312861872""",3,3.81,Tor Books,Mass Market Paperback,592,1996,1991,2019/03/15,2019/03/01,,,read,,,,1,0
37638234,Lies,T.M. Logan,"Logan, T.M.",,"=""1250182263""","=""9781250182265""",3,3.92,St. Martin's Press,Hardcover,418,2018,2017,2019/03/13,2019/03/11,,,read,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",4,4.19,Grand Central Publishing,Hardcover,296,2016,2016,2019/03/11,2019/01/14,,,read,,,,1,0
2845024,Anathem,Neal Stephenson,"Stephenson, Neal",,"=""0061474096""","=""9780061474095""",0,4.17,William Morrow,Hardcover,937,2008,2008,,2019/03/10,to-read,to-read (#82),to-read,,,,0,0
13587160,"To Save Everything, Click Here: The Folly of Technological Solutionism",Evgeny Morozov,"Morozov, Evgeny",,"=""1610391381""","=""9781610391382""",0,3.69,PublicAffairs,Hardcover,415,2013,2013,,2019/03/10,to-read,to-read (#81),to-read,,,,0,0
38232376,"Nine Pints: A Journey Through the Money, Medicine, and Mysteries of Blood",Rose George,"George, Rose",,"=""1627796371""","=""9781627796378""",2,3.82,Metropolitan Books,Hardcover,289,2018,2018,2019/03/08,2019/03/01,,,read,,,,1,0
25698,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,"Smith, Adam",,"=""0226763749""","=""9780226763743""",0,3.88,University Of Chicago Press,Paperback,1076,1977,1776,,2019/03/07,to-read,to-read (#80),to-read,,,,0,0
44166209,"Top 10 Games You Can Play in Your Head, by Yourself",Sam Gorski,"Gorski, Sam",D.F. Lovett,"=""0998379417""","=""9780998379418""",0,3.85,R. R. Bowker,Paperback,200,2019,,,2019/03/04,to-read,to-read (#79),to-read,,,,0,0
18883761,The Last Hours of Humanity: Warming the World to Extinction,Thom Hartmann,"Hartmann, Thom",,"=""""","=""""",0,4.10,Waterfront Digital Press,Kindle Edition,46,2013,2013,,2019/03/01,to-read,to-read (#78),to-read,,,,0,0
35171984,Fantasyland: How America Went Haywire: A 500-Year History,Kurt Andersen,"Andersen, Kurt",,"=""""","=""""",4,4.09,Random House,Kindle Edition,429,2017,2017,,2019/02/28,,,read,,,,2,0
35558395,Blackfish City,Sam J. Miller,"Miller, Sam J.",,"=""0062684825""","=""9780062684820""",4,3.58,Ecco,Hardcover,328,2018,2018,2019/02/28,2018/11/18,,,read,,,,1,0
18796,In Search of Lost Time,Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Andreas Mayor, Terence Kilmartin, D.J. Enright, Richard Howard","=""0812969642""","=""9780812969641""",0,4.35,Modern Library,Paperback,4211,2003,1927,,2019/02/25,to-read,to-read (#77),to-read,,,,0,0
11350120,Mindfulness: An Eight-Week Plan for Finding Peace in a Frantic World,J. Mark G. Williams,"Williams, J. Mark G.","Danny Penman, Jon Kabat-Zinn","=""1609611985""","=""9781609611989""",3,3.99,Rodale Books,Hardcover,288,2011,2011,2019/02/24,2019/02/15,,,read,,,,1,0
8320840,The Complete Fiction,H.P. Lovecraft,"Lovecraft, H.P.",S.T. Joshi,"=""1435122968""","=""9781435122963""",0,4.35,Barnes & Noble,Leather Bound,1098,2011,,,2019/02/24,to-read,to-read (#76),to-read,,,,0,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.81,Back Bay Books,Paperback,277,2001,1951,,2019/02/24,to-read,to-read (#75),to-read,,,,0,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Alberto Blecua, Roberto González Echevarría, Peter Anthony Motteux, John Rutherford, John Ozell, Cesco Vian, Alessandra Riccio, Tobias Smollett, Barbara Troiano, Giorgio Di Dio, Paola Cozzi","=""""","=""""",0,3.89,Penguin Books,Paperback,1023,2003,1605,,2019/02/24,to-read,to-read (#74),to-read,,,,0,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",0,4.01,Vintage International,Paperback,159,1989,1942,,2019/02/24,to-read,to-read (#73),to-read,,,,0,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann","Hilda Rosner, Zigmantas Ardickas","=""""","=""""",0,4.06,Bantam Books,Mass Market Paperback,152,1981,1922,,2019/02/24,to-read,to-read (#72),to-read,,,,0,0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334206""","=""9780385334204""",0,4.07,Dell Publishing,Paperback,303,1999,1973,,2019/02/24,to-read,to-read (#71),to-read,,,,0,0
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,"Vinge, Vernor",,"=""0812515285""","=""9780812515282""",0,4.13,Tor Science Fiction,Mass Market Paperback,613,1993,1992,,2019/02/24,to-read,to-read (#70),to-read,,,,0,0
36576608,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",0,4.18,,Paperback,216,2000,1959,,2019/02/24,to-read,to-read (#69),to-read,,,,0,0
