Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Shen,99,45.40%,57,42,9,23,19,55%,1.74,1.93,7.5,4.79,235.02,6.46,12.8,351,-,-,77.10%,14.50%,19.90%,
Gragas,87,40%,2,85,12,51,34,60.00%,1.73,2.38,7.36,3.83,141.29,3.9,12.1,334,-,-,68.30%,13%,18.80%,
Bard,86,39.40%,30,56,11,32,24,57.10%,0.93,2.21,8.95,4.46,19.2,0.53,9.5,264,-,-,72.70%,6.80%,14.90%,
Cassiopeia,71,32.60%,27,44,9,23,21,52.30%,4.07,2.27,5.34,4.14,309.68,8.6,14.4,399,-,-,74%,32.10%,22.60%,
Kindred,69,31.70%,46,23,10,7,16,30.40%,2.61,2.57,4.35,2.71,148.22,4.25,11.9,342,-,-,69.90%,26.20%,20.00%,
Malzahar,63,28.90%,43,20,8,12,8,60%,4.1,2.45,6.2,4.2,272,7.96,13.4,392,-,-,75.50%,30.00%,21.90%,
Elise,60,27.50%,5,55,13,28,27,51%,1.75,2.31,5.05,2.94,124.82,3.72,11.2,334,-,-,67.50%,17.30%,19.10%,
Swain,60,27.50%,32,28,10,15,13,53.60%,2.32,2.39,5.75,3.37,286.61,7.64,13.8,369,-,-,68.30%,19.60%,21.10%,
Gnar,57,26.10%,1,56,11,29,27,51.80%,2.64,2.95,4.91,2.56,231.2,6.72,12.4,360,-,-,59.20%,20.70%,20.50%,
Lissandra,57,26.10%,28,29,11,14,15,48.30%,2.48,4.14,6,2.05,312,8.3,14.5,385,-,-,63.60%,18.60%,21.50%,
Jax,54,24.80%,28,26,4,14,12,54%,2.81,2.31,1.88,2.03,258.88,7.91,12.8,393,-,-,48%,28.90%,22.40%,
Jhin,53,24.30%,3,50,9,18,32,36.00%,2.94,2.18,5.18,3.72,246.66,7.1,12.5,358,-,-,68.10%,24.70%,21.00%,
Zyra,51,23.40%,22,29,6,13,16,44.80%,1.1,3.07,6.1,2.35,28.55,0.75,10.7,278,-,-,63.90%,9.80%,15.90%,
Anivia,51,23.40%,35,16,5,7,9,43.80%,2.19,1.94,3.75,3.06,285.25,8.79,12.4,383,-,-,69.30%,25.50%,22.40%,
Ezreal,48,22.00%,-,48,11,24,24,50.00%,3.42,2.08,5.4,4.23,289.33,7.9,14.3,390,-,-,70.10%,27.20%,22%,
Soraka,48,22.00%,23,25,7,12,13,48.00%,0.32,2.8,8.28,3.07,12.88,0.38,8.5,253,-,-,68.70%,2.60%,14%,
